,~id,~label,type,community_summary,created,updated
0,m3h769o80a70svq,Deposits,business_unit,"This community includes various deposit products such as checking accounts (Checking), savings accounts (Savings), and certificates of deposits (CDs). The 'Deposits' node acts as a central entity that manages these subproducts. It supports customer journeys related to shopping for new financial options, facilitates transactions like payments, deposits, or withdrawals across different account types, allows administrative tasks on such accounts (e.g., managing the spending), and handles processing issues involving the deposit products.",2024-12-14 21:03:38.463Z,2024-12-25 20:22:46.019Z
5,s18t8l248y6th0o,CDs,product_category,"CDs in banking refer to Cash Deposits, which represent funds held in interest-bearing accounts at a financial institution. These CDs offer holders fixed interest rates and a secure way to save money over a set term.",2024-12-14 21:03:38.467Z,2024-12-24 03:58:05.467Z
6,8eg39oz345m8m91,Checking,product_category,"The checking account category is designed for individuals and businesses to receive and manage daily transactions, including deposits, withdrawals, and bill payments, with minimal fees and quick access to funds. It typically offers features such as online banking capabilities, mobile app access, and various digital tools to streamline financial management and monitoring.",2024-12-14 21:03:38.468Z,2024-12-24 03:58:27.630Z
7,v7lurh7vy44689w,Checking Account,product,"A checking account allows consumers to deposit and withdraw money conveniently, facilitating everyday transactions while earning interest on their balance. It serves as a primary banking tool providing flexibility and accessibility in managing finances.",2024-12-14 21:03:38.468Z,2024-12-24 03:58:44.191Z
8,6t18hz9p2j056x6,Savings,product_category,"The Savings category in a bank typically offers deposit accounts designed to reward low-risk investors with regular interest payments, encouraging them to save rather than spend. These products often come with minimal fees and are accessible, making them ideal for individuals looking to build wealth steadily over time.",2024-12-14 21:03:38.468Z,2024-12-24 03:59:03.426Z
9,f9ct89lau6974d3,Savings Account,product,"A Savings Account is designed to help individuals store and grow their money securely, offering low interest rates in exchange for the peace of mind and potential earnings over time. It encourages saving habits and provides access to cash through ATMs and branches, making it a convenient option for both savers and financial management.",2024-12-14 21:03:38.468Z,2024-12-24 03:59:38.798Z
10,1e7lnp2n5l04890,Shopping,customer_journey_category,"This community revolves around activities related to acquiring new financial services/products. The 'Shop for a New Account' sub-journey indicates that users can explore and choose from various account options available (e.g., CDs follow specific shopping journeys).",2024-12-14 21:03:38.468Z,2024-12-14 21:03:38.468Z
11,4vuizg6j7n68w9w,Shop for a New Account,customer_journey_group,"The Shop for a New Account group focuses on assisting customers in establishing their banking relationship through initial setup and onboarding processes. This initiative ensures seamless transitions from new account creation to daily banking activities, emphasizing customer satisfaction and ease of use.",2024-12-14 21:03:38.468Z,2024-12-24 04:01:02.353Z
13,39b2g011ly04al5,Compare and Research for Options,customer_journey,,2024-12-14 21:03:38.469Z,2024-12-14 21:03:38.469Z
14,k303oxk9beltky5,Open a New Account,customer_journey,"In the Open a New Account process, customers begin by visiting the bank's website or walking into a branch, where they are greeted by a friendly representative. Next, they gather required documents and complete necessary forms, followed by an approval from the bank's internal verification system before finally opening their new account with personalized banking services.",2024-12-14 21:03:38.469Z,2025-02-15 04:00:20.873Z
15,71wud0roq689cc2,Transacting,customer_journey_category,"This community includes nodes related to financial transactions. The 'Make Payment, Deposit or Withdrawal' node implies actions like deposits into checking/savings accounts and payments through these channels.",2024-12-14 21:03:38.469Z,2024-12-14 21:03:38.469Z
16,q2mta98j8z03ymy,"Make Payment, Deposit or Withdrawal",customer_journey_group,"Individuals transitioning from cash transactions to digital banking may first encounter the concept of automated payment systems as they explore new financial technologies. Once comfortable with these processes, they gradually shift towards understanding deposit and withdrawal procedures, enhancing their overall banking experience.",2024-12-14 21:03:38.469Z,2024-12-27 15:53:30.399Z
21,c16032ls6jwwwqh,Administrating,customer_journey_category,"Focused on managing account activities without direct transaction involvement. It includes various sub-journeys such as administering the funds in specific deposit products (like Savings and Checking), controlling spending through these amounts, or gaining insights into one’s overall financial activity.",2024-12-14 21:03:38.470Z,2024-12-14 21:03:38.470Z
22,1637ffp1xe8rp3a,Manage My Account,customer_journey_group,,2024-12-14 21:03:38.470Z,2024-12-14 21:03:38.470Z
34,bih9y8k559frnfd,Manage My Spend,customer_journey_group,,2024-12-14 21:03:38.471Z,2024-12-14 21:03:38.471Z
36,881y4sncjn10v8p,Understand My Spend,customer_journey_group,,2024-12-14 21:03:38.472Z,2024-12-14 21:03:38.472Z
40,l3g4d81ryg55y8l,Processing,customer_journey_category,Related to resolving problems or issues with account transactions. The 'Process an Issue' sub-journey indicates the processes involved in addressing customer satisfaction and problem resolution concerning deposit products.,2024-12-14 21:03:38.472Z,2024-12-14 21:03:38.472Z
41,19lw2d0b2yz7o41,Process an Issue,customer_journey_group,,2024-12-14 21:03:38.472Z,2024-12-14 21:03:38.472Z
67,9em04idqf76o1uj,Onboarding,customer_journey_category,This community contains journeys related to customers joining the Bank and creating their profile and login,2024-12-14 21:03:38.475Z,2024-12-14 21:03:38.475Z
68,g7ldi8l2zr7xes4,Apply/Refinance,customer_journey,,2024-12-14 21:03:38.475Z,2024-12-14 21:03:38.475Z
99,3lazm1554p5jvh7,reg_bsa,regulation,Bank Secrecy Act,2025-02-15 03:50:36.889Z,2025-02-15 04:05:27.795Z
